PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
go around	2	5	2045043 motion 969873 communication 2085446 motion 811171 communication 2738126 stative
come down	2	5	237704 change 827458 communication 2756821 weather 1970826 motion 87454 body
break off	2	5	362348 change 1259691 contact 1259458 contact 362805 change 1298931 contact
break out	2	5	309074 change 346958 change 345508 change 1485732 contact 2073233 motion
peel off	2	5	9492 body 1263215 contact 50315 body 2033703 motion 1259951 contact
hold out	2	5	2705132 stative 1116585 competition 27705 body 2618149 stative 2641741 stative
light up	2	5	2761229 weather 1199881 consumption 2771169 weather 291873 change 2764122 weather
get into	2	5	50652 body 2016523 motion 2636810 stative 875000 communication 2239405 possession
dress up	2	5	293528 change 44797 body 51761 body 1670315 creation 44149 body
drop off	2	5	204391 change 1113806 competition 1489465 contact 152887 change 17282 body
fall out	2	5	2008674 motion 339934 change 775692 communication 2720149 stative 2097925 motion
clear up	2	5	484892 change 621058 cognition 939857 communication 178235 change 2771169 weather
bring in	2	5	2262932 possession 2078591 motion 2289295 possession 2080783 motion 2247390 possession
build up	2	5	252990 change 253277 change 154608 change 171852 change 1087197 competition
take on	2	5	524682 change 1079480 competition 2236624 possession 2569630 social 2381726 social
turn up	2	5	423702 change 1313923 contact 1277974 contact 2633881 stative 2286204 possession
warm up	2	5	100905 body 373112 change 373250 change 2444397 social 27064 body
wash up	2	5	25034 body 2080482 motion 1533166 contact 75421 body 423257 change
put off	2	5	1819387 emotion 1808626 emotion 1790739 emotion 2642814 stative 809654 communication
hold on	2	5	790509 communication 362610 change 350461 change 2202384 possession 1216004 contact
keep up	2	5	20449 body 2280132 possession 1113975 competition 2679530 stative 118764 change
lay out	2	5	407848 change 772967 communication 2366575 possession 711040 cognition 1474209 contact
draw up	2	5	706804 cognition 1982686 motion 1863158 motion 2448734 social 1863410 motion
come in	2	5	2006709 motion 659776 cognition 914769 communication 2016523 motion 2667419 stative
come on	2	5	248659 change 348103 change 2053941 motion 1526605 contact 423702 change
run up	2	5	159553 change 1329239 contact 1455754 contact 1666604 creation 2321245 possession
tie up	2	5	1286038 contact 1305542 contact 1286913 contact 2271923 possession 1477014 contact
back up	2	5	1997680 motion 1478603 contact 223109 change 2556126 social 1694620 creation
go on	2	5	1526605 contact 781000 communication 2684924 stative 1992503 motion 339934 change
cut in	2	5	396234 change 780191 communication 520194 change 2295447 possession 2057878 motion
come across	2	5	592037 cognition 2286687 possession 2023107 motion 1063529 communication 2136138 perception
come through	2	4	426749 change 2619924 stative 2524171 social 2021921 motion
get in	2	4	2016523 motion 2239405 possession 2015384 motion 2585860 social
walk around	2	4	1910965 motion 2518625 social 1911232 motion 2419438 social
put forward	2	4	879540 communication 1629958 creation 878136 communication 2373785 social
bring forth	2	4	2141146 perception 1752495 creation 1627355 creation 54628 body
get around	2	4	2389815 social 935987 communication 811171 communication 1842888 motion
lighten up	2	4	312815 change 1814074 emotion 280930 change 860136 communication
fall apart	2	4	397405 change 1369346 contact 1829126 emotion 334186 change
carry over	2	4	2202802 possession 2013427 motion 349951 change 2079330 motion
turn away	2	4	2502916 social 2034511 motion 1908809 motion 2034300 motion
write off	2	4	315956 change 1700540 creation 2477655 social 593363 cognition
stand for	2	4	931852 communication 669099 cognition 2699497 stative 836236 communication
stand out	2	4	2673965 stative 2674564 stative 1932834 motion 1116980 competition
take down	2	4	1973125 motion 1020934 communication 1800422 emotion 1661804 creation
round out	2	4	145623 change 485274 change 145147 change 172381 change
give away	2	4	841986 communication 2293915 possession 2201855 possession 933821 communication
come back	2	4	1998982 motion 959524 communication 816353 communication 548153 change
cut short	2	4	317241 change 362805 change 292877 change 520602 change
black out	2	4	312648 change 2762299 weather 201906 change 23868 body
block out	2	4	1358737 contact 711236 cognition 1006699 communication 1477538 contact
call back	2	4	2312478 possession 607780 cognition 791764 communication 791506 communication
